AccountAge,MonthlyCharges,TotalCharges,SubscriptionType,PaymentMethod,PaperlessBilling,ContentType,MultiDeviceAccess,DeviceRegistered,ViewingHoursPerWeek,AverageViewingDuration,ContentDownloadsPerMonth,GenrePreference,UserRating,SupportTicketsPerMonth,Gender,WatchlistSize,ParentalControl,SubtitlesEnabled,CustomerID,Churn,가입기간,이탈여부,장기고객,요금제
42,11.32195032980162,475.5219138516681,Basic,Electronic check,Yes,Movies,Yes,Tablet,7.058695533334739,24.59336128901439,25,Comedy,3.489464519485509,7,Female,15,No,No,LOHRYYC9E8,0,42,0,True,Basic
95,12.8109146006735,1217.0368870639825,Standard,Electronic check,Yes,TV Shows,No,Mobile,102.04479119396052,102.86079509716252,21,Comedy,2.251859954914927,3,Male,8,No,,RIH7RFEZCS,0,95,0,True,Standard
6,,91.58330353602958,Standard,Credit card,Yes,TV Shows,No,Tablet,81.87017134353992,10.51241512260625,29,Fantasy,,4,Male,14,No,Yes,JB5J8X2UY1,0,6,0,True,nan
54,20.047526151842334,967.5622239953254,Basic,,Yes,Movies,No,Mobile,7.535265977533035,45.24683449226995,45,Drama,1.275003599306649,3,Male,12,No,,Z4GZJIB90P,1,54,0,True,Premium
27,,339.05724384123715,Basic,Mailed check,No,TV Shows,No,Mobile,93.67465927976133,94.31095420850131,44,Comedy,3.236229818039165,4,Female,18,No,,B3BDJTW0L9,0,27,0,True,nan
71,,818.2870537568413,Premium,Credit card,No,Movies,Yes,Computer,23.743219663647697,123.28079409280006,30,Comedy,2.7796143639640785,6,Female,16,Yes,,5E4TQK5OVX,0,71,0,True,nan
69,17.145910434759166,1183.0678199983824,Basic,,No,Movies,Yes,Mobile,50.78860198545523,86.12255889350608,35,Sci-Fi,4.933494480322786,6,Female,5,No,Yes,8VFNZ1M1I9,0,69,0,True,Premium
76,20.668850679539588,1327.1025263223478,Premium,Electronic check,No,Movies,Yes,Mobile,38.12229624254014,137.5578744789226,32,Fantasy,2.1547371507439013,9,Female,11,Yes,Yes,THKWUHOGUL,1,76,1,True,Premium
8,,,Premium,Electronic check,No,Both,Yes,Computer,23.61924371326112,137.55294155226025,16,Fantasy,,3,Female,2,No,Yes,IGZ39O1ROC,1,8,1,True,nan
26,23.30923962723583,512.1808023247314,Premium,Credit card,Yes,Both,Yes,,6.332236413540427,164.0736426680405,44,Drama,1.72570039826283,4,Male,16,Yes,,JHTQYVGRR4,1,26,0,True,Premium
102,,1954.784655794702,Premium,,No,Movies,Yes,Mobile,93.97532712212328,5.028411809068291,29,,2.683852930153724,6,Male,19,Yes,Yes,W636FZ4VNV,0,102,0,True,nan
101,,639.2830572377612,Standard,Electronic check,No,Both,No,Computer,42.733041796848944,74.34797146927649,11,Drama,3.836933094328382,2,Female,12,Yes,,CAS3XBFUJG,0,101,0,True,nan
83,9.270358698753164,769.4397719965126,Standard,Electronic check,No,Movies,Yes,Tablet,28.048779194568613,25.531249352094232,32,Action,2.5519762065415463,9,Male,17,No,,Y66SW76TPC,0,83,0,True,Basic
10,8.078494236284286,,Standard,Mailed check,No,TV Shows,No,Mobile,74.20437238031441,155.7927759665253,0,Fantasy,,2,Female,2,No,,BEREY4ZEQN,0,10,1,True,Basic
8,5.72871245000111,45.82969960000888,Standard,Credit card,No,Movies,Yes,Computer,94.61076027532351,66.40771735757477,38,Drama,,0,Female,18,No,Yes,ORSECJMYNH,0,8,0,True,Basic
6,13.765035665546437,,Premium,Electronic check,Yes,Both,Yes,Mobile,23.603811152968515,45.614267199032,22,Action,3.834114298091446,1,Female,7,No,Yes,HI8VKLPO25,0,6,1,True,Standard
2,,15.637027909928785,Standard,Credit card,No,TV Shows,No,Tablet,24.240365541020434,55.83542583110676,43,Comedy,2.0293354975564264,4,Male,6,No,,6RWHGUCAB4,0,2,1,False,nan
83,16.263146505136994,1349.8411599263704,Premium,Bank transfer,No,TV Shows,No,,19.768553122742976,128.5922697932727,23,Sci-Fi,,7,Male,13,Yes,,7CC943AY0R,0,83,0,True,Standard
23,17.534374785266554,321.0143316862,Premium,,Yes,Both,No,Tablet,20.21816268782124,80.1188619906361,0,Comedy,1.8648241717764984,8,Male,1,No,,Y7COZUAXRR,1,23,0,True,Standard
23,,145.23511010410198,Standard,,Yes,Both,No,Tablet,50.297061564605286,64.04791230426866,27,Action,1.742696347909828,9,Female,23,No,,7O0U49OF9M,0,23,0,True,nan
24,,310.46702447500434,Standard,,Yes,Both,No,TV,40.57444633084706,65.11007500357869,31,Sci-Fi,,1,Male,16,No,,KWCJPZTMBZ,0,24,0,True,nan
87,17.295804841945344,1305.0782816023516,,Bank transfer,Yes,TV Shows,Yes,TV,51.6866665938776,121.85215558143412,29,Action,4.647866618430838,4,Female,13,No,,A92ZOG2V1J,1,87,0,True,Standard
63,6.635013133011577,,Premium,Credit card,No,TV Shows,Yes,Mobile,83.90280487440022,172.6618112615645,32,Comedy,1.0117453569134436,6,Female,20,No,,RZUWX2CJ0Q,0,63,1,True,Basic
78,22.720149303068787,1548.4646245162407,Basic,Electronic check,Yes,Movies,No,TV,47.592443458592136,80.22383068354559,13,,2.274722005413115,2,Male,0,Yes,,VJN9GFI0OP,1,78,0,True,Premium
97,13.48847457664928,1308.3820339349802,Standard,Mailed check,Yes,TV Shows,Yes,TV,59.534468249129844,56.56707686243463,20,Action,,7,Male,3,No,,LNQN935XS9,0,97,0,True,Standard
2,15.426668190323372,30.853336380646745,Premium,Electronic check,No,TV Shows,No,Mobile,19.98229709374213,152.0381778776287,41,Comedy,2.597518511086008,3,Male,24,Yes,,S0QK1ZQ4ZB,0,2,1,False,Standard
85,18.23122618717253,,Premium,Mailed check,Yes,Both,Yes,TV,19.13549081198846,69.41633740528245,37,Drama,4.270866362857641,2,Female,21,No,,X0MDEL63NZ,1,85,0,True,Standard
89,18.8431591662353,,Standard,,No,Both,No,Mobile,48.89939941464313,176.56925376817549,41,Comedy,1.0694673415242488,6,Female,5,No,,4T29LDSLLN,1,89,0,True,Standard
77,11.777069397222668,599.0888268316312,Basic,,Yes,TV Shows,Yes,Computer,40.504852999702784,62.44375432751656,28,Action,4.792037837995127,4,Female,0,Yes,,318N9SO05V,1,77,0,True,Basic
113,19.61499197448325,2216.494093116607,Basic,Credit card,No,TV Shows,No,Mobile,78.88225867578855,83.65440622475244,24,Fantasy,3.18802084888976,3,Male,8,Yes,,CBDV730UOG,0,113,0,True,Premium
8,,51.21753685131792,Premium,Mailed check,No,Both,Yes,Tablet,87.27954708535343,54.57718275763445,47,,4.568875141081065,0,Female,8,No,,VCB3X9ZM3S,0,8,0,True,nan
103,10.72652906711127,1104.832493912461,Standard,Bank transfer,Yes,TV Shows,Yes,TV,53.212193727675704,115.098616798753,15,Drama,2.087612906686388,9,Male,11,No,,4TXBLWD375,0,103,0,True,Basic
76,8.794010017425707,,Basic,,No,Movies,Yes,Mobile,68.73912406955435,161.45067852325676,27,Fantasy,1.274403987642387,0,Male,13,No,,J2ZTONJLMC,0,76,0,True,Basic
106,17.812174478662143,1509.532351705178,Standard,Credit card,No,TV Shows,No,Computer,27.15756806137599,59.98049838247941,35,Fantasy,,3,Male,13,No,Yes,0KJGVNJL8N,1,106,0,True,Standard
7,12.493820459927742,87.45674321949419,Premium,,Yes,Movies,No,Tablet,42.9237583653593,95.4209057512576,36,Action,4.337422212878522,6,Male,4,No,,5JBY0JE8LF,0,7,0,True,Standard
82,,,Standard,,Yes,TV Shows,Yes,TV,53.935056130524245,117.24086935873112,37,Comedy,,0,Female,11,Yes,,56V1FDEX23,1,82,0,True,nan
26,12.633261108284174,328.4647888153885,Basic,Bank transfer,Yes,Movies,Yes,,68.73999761839109,155.67576810534135,37,Comedy,2.3234199409961307,0,Female,20,Yes,,SCEJCH4OP4,0,26,0,True,Standard
66,13.751909490384248,907.6260263653604,Basic,Bank transfer,Yes,Movies,No,Mobile,54.063428101988265,102.4710880578844,42,Fantasy,2.430666670590388,6,Male,4,No,,EB0W1QH7VZ,0,66,0,True,Standard
37,18.56189976869011,,Basic,,Yes,TV Shows,Yes,Computer,63.75773444419962,70.51122846066578,20,Fantasy,4.198958694484318,9,Male,21,Yes,,S5WIVFDNN0,1,37,0,True,Standard
72,18.086224486897812,1073.569375092486,Basic,Credit card,Yes,TV Shows,Yes,Mobile,43.22570025848149,38.17272233147202,37,Fantasy,4.397418070128925,0,Male,16,Yes,Yes,AZAQP5JFUX,1,72,0,True,Standard
18,17.991666214195522,281.20884674270843,Standard,Bank transfer,Yes,Both,Yes,TV,40.084117785696385,53.38442130649877,35,Comedy,4.823201147092407,2,Female,6,No,,94GUYMPU6T,1,18,0,True,Standard
105,17.494802394895363,1550.8848087170325,Standard,Electronic check,No,Movies,No,TV,35.45667397072383,113.69526861982604,44,Fantasy,4.781657655972802,5,Female,12,Yes,,0H9S6H654F,1,105,0,True,Standard
20,6.880638282778266,,Premium,,No,TV Shows,No,Computer,76.32453159995163,156.81588274842923,42,,3.5058337375635764,4,Male,12,Yes,No,FH0H23YW0M,0,20,0,True,Basic
45,20.57182944795796,833.3746213902223,Premium,,Yes,TV Shows,No,Computer,33.94968847158841,110.35997094459236,14,Sci-Fi,3.883595451712859,0,Male,7,Yes,,IUW1HLES8S,1,45,0,True,Premium
15,9.514092744850451,111.98563825601612,Standard,Bank transfer,No,Both,No,Computer,32.54385998553224,77.54316293007034,0,Fantasy,1.070033825144502,6,Female,8,No,,E6LQV6844N,1,15,0,True,Basic
74,,861.7870609024834,Standard,Credit card,No,Both,Yes,Computer,37.74371610188057,114.40517551602056,17,Sci-Fi,3.107525294056259,8,Female,6,No,,59G4MT5L0S,0,74,0,True,nan
46,9.791247181094892,450.39737033036505,Basic,Bank transfer,Yes,Both,Yes,TV,87.43451274832987,111.83169639823824,25,Comedy,2.0800260357006044,6,Female,10,No,Yes,PRI44P2JBT,0,46,0,True,Basic
62,9.796647367960356,607.3921368135422,Standard,Electronic check,No,TV Shows,No,,101.51465454544359,97.46887977509935,22,Comedy,,7,Female,2,No,,MMNA6RJYF5,0,62,0,True,Basic
19,21.03342196836875,350.28344560263275,Basic,Credit card,No,Both,Yes,Mobile,7.144422771346209,173.70379720765953,22,Action,,0,Female,24,No,,HKLEITP1IA,1,19,0,True,Premium
6,13.404750393024509,57.14035141676297,Premium,Credit card,No,Movies,Yes,Computer,43.92780895597173,44.07854950880273,8,Action,,0,Female,2,No,,T2ED1KDVR6,1,6,1,True,Basic
23,7.72548589747683,177.68617564196708,Basic,Credit card,No,TV Shows,No,Mobile,56.691352142723055,32.36622394010151,7,Comedy,3.1016833237109043,0,Female,20,No,,DFIYIYM3TK,0,23,0,True,Basic
109,14.164831978817402,,Standard,Bank transfer,No,Both,Yes,TV,49.56690580673765,163.47997195935758,43,Action,3.938040847586408,2,Male,8,Yes,,FZRJKPERVZ,1,109,0,True,Basic
26,14.9548825758958,291.4449739480915,Basic,Bank transfer,No,Movies,Yes,Tablet,11.133195172604438,22.44377291373981,24,Action,3.1983717045701776,0,Male,18,No,,OAWTET09CW,1,26,0,True,Basic
119,13.502818692542355,,Standard,Electronic check,Yes,TV Shows,Yes,TV,34.97507405841643,12.49848119461238,26,Drama,3.455806596355476,7,Female,22,Yes,,KM2QC8SV7C,0,119,0,True,Standard
45,7.738310174232479,348.2239578404616,Basic,Electronic check,No,TV Shows,No,TV,70.84591198519735,57.08792657124925,40,Fantasy,3.569271084495916,7,Female,6,Yes,,U7BU2SCCHI,0,45,0,True,Basic
111,,1259.004388697121,Premium,Bank transfer,No,Movies,Yes,Mobile,60.1440845203509,142.52112960853452,13,Comedy,4.24328076241142,7,Male,15,Yes,,53S9CYHTXM,1,111,0,True,nan
104,6.732794665165834,,Premium,Mailed check,No,Both,Yes,Computer,57.72583545535301,49.51944256364908,43,Action,,7,,6,No,,KFXH24VCIX,0,104,0,True,Basic
110,,1412.0448147554584,Standard,Credit card,No,Both,No,Computer,42.372928402526306,100.4340654839757,43,Action,3.438805869644558,5,Male,8,No,,QDLZNIKBDV,1,110,0,True,nan
67,12.90821229112442,864.8502235053362,Premium,Bank transfer,Yes,Both,Yes,Computer,29.51607467477062,23.244959103073377,17,Sci-Fi,2.538593485203901,1,Male,20,Yes,,VOLEP42RI4,0,67,0,True,Standard
105,7.397376052165234,549.7981675883534,Basic,,No,Both,No,Mobile,19.002269490077623,61.33455709410255,19,Comedy,2.135444217046408,9,Male,3,No,,2PV3FKTEN7,1,105,0,True,Basic
45,8.518217328005495,227.8052421326084,Basic,,No,Both,No,Mobile,50.360943442792866,86.60190000273313,24,Sci-Fi,1.2554063020314763,4,Male,3,No,,BAHIPO8823,1,45,0,True,Basic
12,22.64100537195641,235.77699680694977,Premium,Electronic check,Yes,Movies,Yes,Mobile,23.042679792470846,169.23743385172318,21,Fantasy,4.365473530497493,5,Male,22,Yes,No,XIB5D3UHRB,1,12,0,True,Premium
105,9.182763472386728,964.1901646006064,Basic,Electronic check,Yes,Movies,Yes,Computer,69.6529351544743,91.3734235281412,49,Comedy,,4,Male,0,No,,G48SX3KH6A,0,105,0,True,Basic
11,,,Basic,Electronic check,No,Movies,No,Computer,59.429226171759964,48.35721110573631,46,Fantasy,2.9625426064976086,9,Female,0,Yes,,8CGM9OR85P,1,11,0,True,nan
52,14.811998008499355,,Standard,,No,TV Shows,No,Tablet,8.568833128770663,64.0773515497817,7,Drama,,1,Male,19,Yes,,ZXKZKRKVDN,1,52,1,True,Basic
21,16.673054107134362,350.1341362498216,,Credit card,No,Both,Yes,TV,83.64468832979487,96.7762621366086,44,,3.175287540857471,8,Male,22,Yes,,NF9RGTY4VD,0,21,0,True,Standard
16,12.542694837001328,149.15591260873668,Basic,Credit card,No,TV Shows,No,Computer,35.374685447600676,173.1410030561647,7,Fantasy,2.5514801178914777,4,Male,8,Yes,,YA70YL4HCM,1,16,0,True,Basic
25,14.68055910357458,367.01397758936446,Standard,Bank transfer,Yes,TV Shows,Yes,TV,42.90595995339457,122.7981832592693,24,Drama,,0,Male,5,No,,RR7DWPO17O,0,25,0,True,Standard
92,18.2787740771993,1359.3941992729915,Premium,Credit card,Yes,Movies,No,Mobile,13.383170194469873,96.45780218698702,30,Drama,1.8982458871316648,3,Male,3,No,,HBUU9YXPD0,1,92,0,True,Standard
80,,1070.7162512219377,Basic,Bank transfer,No,TV Shows,Yes,,46.85351497625795,35.435589839550794,12,Comedy,,7,Male,0,Yes,,OXNDMG3NC7,0,80,0,True,nan
98,7.94007970919259,778.1278115008738,Standard,Credit card,Yes,TV Shows,No,Mobile,37.83649337426608,46.5674277837852,12,Comedy,2.4847051004952028,4,Male,21,Yes,,GBJGLPXBR5,0,98,0,True,Basic
22,15.205564993669649,334.52242986073225,Basic,,No,Both,No,Computer,12.050784220677382,159.09360131207944,15,Fantasy,,9,Male,11,Yes,No,PM332INSGW,0,22,0,True,Standard
19,8.636106375015865,,Premium,Credit card,No,TV Shows,Yes,Computer,17.740905084025055,99.7233410991908,47,Drama,4.660409874831865,7,Male,11,No,No,KGZIUGKUB6,1,19,0,True,Basic
104,8.063300806759333,838.5832839029706,,,No,Both,No,Computer,31.504576623709852,109.113551655722,42,Comedy,4.36441915857977,1,Male,9,Yes,,2DBPXLKT8K,0,104,0,True,Basic
85,,1294.04700533529,Standard,Bank transfer,No,TV Shows,Yes,Mobile,28.89253582905605,81.58150329841074,27,Drama,2.080307514259071,9,Female,1,No,,55VANP455P,1,85,1,True,nan
62,19.156984627671672,1187.7330469156436,Standard,,Yes,Both,Yes,TV,67.59388342985739,18.6057246782046,5,Drama,4.266681695700271,3,Female,13,Yes,,3MBK6VMOCV,0,62,0,True,Premium
1,,13.01210092215553,Premium,Bank transfer,Yes,Movies,No,,15.515776492426959,52.56780586243679,28,Action,4.284239136762995,9,Female,12,No,,UW8ES4IYMI,0,1,0,False,nan
14,16.767204125636795,199.7535641631289,Premium,Electronic check,No,Both,No,Computer,20.496678451846076,62.58552280552126,34,,2.876019105018504,3,Female,2,No,No,VPJBEYNWQS,1,14,0,True,Standard
31,19.789187334591187,534.6039243523517,Premium,Bank transfer,Yes,Movies,Yes,TV,44.64821282648418,145.01617575065148,42,Sci-Fi,,8,Male,2,Yes,,5YJC1ZTRTJ,1,31,0,True,Premium
86,11.729898655737578,1008.7712843934318,Basic,Credit card,Yes,TV Shows,No,TV,14.303689814278444,121.4418677441892,21,Fantasy,,4,Male,5,No,Yes,HM6617H4JD,0,86,0,True,Basic
33,11.506819737723454,379.725051344874,Premium,Electronic check,Yes,Movies,No,,64.34509580786455,169.57575794711633,9,Drama,2.8574832958943435,2,Female,23,Yes,,O3LM1DJEII,0,33,0,True,Basic
49,11.910751508977418,409.5091893582857,,Bank transfer,Yes,Movies,Yes,TV,51.84317843160167,93.49504256792648,0,Fantasy,,5,Male,19,No,Yes,2LZWV9RQL8,1,49,1,True,Basic
53,8.920732965150389,472.7988471529706,Standard,Bank transfer,No,Movies,Yes,TV,72.66481875238378,165.79541674753295,43,Comedy,4.858662580996414,0,Female,18,Yes,,V7E9XNI9DF,0,53,0,True,Basic
63,9.631315044544966,606.7728478063328,Standard,Electronic check,Yes,Movies,Yes,Computer,29.001130115076773,11.837806998583426,16,Comedy,4.322046814619904,1,,21,Yes,No,QHBAXJ9D6V,0,63,0,True,Basic
14,7.969210909385966,111.56895273140351,Premium,Bank transfer,Yes,Both,Yes,Computer,13.612195762509922,15.535141512655802,15,Comedy,2.210262189516649,7,Male,14,No,,9C3BD8HX0R,0,14,0,True,Basic
26,,338.28100550830595,Basic,Electronic check,No,Both,Yes,TV,46.4253251063623,116.06322243762814,35,Comedy,1.472555720792521,8,Female,7,Yes,No,DLTHWP80D3,1,26,0,True,nan
2,16.125401389212946,,Basic,Bank transfer,No,TV Shows,Yes,,14.035463171266178,11.988765017280857,30,,1.2248326147590491,2,Female,4,No,,VK85180DSE,0,2,1,False,Standard
15,10.023636903379886,116.17719241717045,Premium,Electronic check,No,TV Shows,No,Tablet,38.49906687180828,155.52074908996784,40,Sci-Fi,4.120521121540612,9,Male,19,Yes,,2P78X3TX9B,1,15,0,True,Basic
80,15.827400601581505,1021.0047389624858,,Electronic check,No,Both,Yes,Computer,43.74049132627999,146.68215399903642,31,Fantasy,2.2521787780673628,9,Male,22,Yes,,5CM0GI004I,1,80,0,True,Standard
93,16.403067403806375,1263.0214864702616,Basic,Electronic check,No,Both,No,Computer,36.30307953278412,114.89723449821854,43,Sci-Fi,4.529921641315267,4,Male,6,No,,W2YUKP9QMF,1,93,0,True,Standard
28,,,Premium,Credit card,Yes,TV Shows,No,Mobile,63.52411375561692,96.31058633141733,30,,,2,,6,Yes,,V6CRGUK7OJ,1,28,0,True,nan
87,10.600643102132876,591.6849477359748,,,Yes,Both,No,Computer,48.14500156445269,67.76475082097075,0,Action,2.7050433200408506,9,Male,12,Yes,,JHYZISEKTU,1,87,0,True,Basic
58,,1062.151084887055,Premium,,Yes,TV Shows,No,Computer,19.30437457036222,177.97499001868746,4,Sci-Fi,1.5459590401207093,8,Male,17,Yes,,P3ZXPQP59E,0,58,0,True,nan
94,10.817290714524153,704.0328661642596,Standard,Electronic check,No,TV Shows,Yes,Computer,33.73605223672987,116.68683250974044,18,Drama,,4,Female,11,No,,3U07QWB58B,1,94,0,True,Basic
52,,797.3032724449764,Basic,,Yes,TV Shows,No,TV,98.58749892230333,174.88358482869077,46,Comedy,3.426816130002326,8,Male,9,Yes,,2O9NN81OX5,0,52,0,True,nan
13,16.749766340499775,217.74696242649708,Standard,Electronic check,Yes,TV Shows,No,,29.11308862973975,173.18631891920054,3,Action,1.2271980812273595,5,Male,5,No,,UY02SJT9FM,0,13,0,True,Standard
20,,396.4126392253672,,Credit card,No,Both,No,Computer,30.97725157296675,160.97388792871337,18,Comedy,4.49573705466908,4,Female,8,No,,SLTZTHJFZ9,1,20,0,True,nan
103,18.61916261560346,1701.0086262742354,Premium,,No,Both,No,Tablet,11.077906505168025,75.52050710701525,39,Sci-Fi,1.8762405774716693,1,Female,18,No,No,4R07E19QKU,1,103,0,True,Standard
62,,842.7120724376942,Basic,Credit card,No,Both,No,TV,51.86884675856461,65.21043318193,30,Comedy,3.5478001635599026,4,Female,24,Yes,,MH6D9EWVID,1,62,0,True,nan
23,,170.58034663839652,Standard,Mailed check,No,Both,Yes,TV,54.29225636612874,153.6770469787932,42,Sci-Fi,2.6129994825630742,9,Male,13,No,,7HY2MOSDW6,1,23,0,True,nan
65,18.27930491357521,1188.1548193823887,Standard,,Yes,Movies,No,Mobile,87.11896227360457,141.43190722782916,30,Fantasy,,9,Male,16,No,,ZTOJZGRVC4,0,65,0,True,Premium
75,13.30898090330066,998.1735677475496,Basic,Bank transfer,No,Both,Yes,Mobile,60.45388958859558,119.33690525089314,47,,3.0229185822407323,5,,17,No,,A931RZPGP2,0,75,0,True,Standard
43,10.193678429465962,330.2665870968311,Standard,Bank transfer,No,Both,No,,31.595760077557433,149.80190601471733,39,,1.4288137836055488,0,Male,19,No,,R4SINC9IQZ,1,43,0,True,Basic
45,14.303487059125194,,Premium,Credit card,Yes,Movies,Yes,Tablet,89.24743852162305,65.25669399818736,15,Drama,,6,Female,5,No,,7NXSSI06MN,0,45,0,True,Standard
48,18.780445107422267,901.4613651562688,Standard,Credit card,Yes,Movies,Yes,Computer,63.760688758374314,29.89036403580573,1,Drama,1.446495965163057,2,Male,1,No,,DM6BMTS1AS,0,48,0,True,Premium
19,,168.5997531115657,Basic,Electronic check,No,Both,No,Computer,94.71403812490897,143.30530521083986,8,Comedy,1.3895619220636126,8,Female,22,Yes,,KBG5OB2YIW,0,19,0,True,nan
39,,683.951795291824,Premium,Credit card,Yes,Both,Yes,Mobile,31.218185792019778,13.485059337505904,32,Fantasy,1.049661731490065,9,Male,14,Yes,Yes,RSZFX28GG3,0,39,0,True,nan
44,,752.6633455048209,Premium,Electronic check,Yes,Movies,No,Tablet,84.59861223783673,49.354601871260506,48,Fantasy,,9,Male,20,Yes,,4PCP1V37SI,0,44,0,True,nan
31,5.463793811782976,169.37760816527225,Standard,Bank transfer,Yes,Both,Yes,Computer,31.130197238026525,92.14099146893328,5,Comedy,4.626314253835056,5,Female,24,Yes,,SCFG260GEA,0,31,0,True,Basic
71,5.084423904802613,360.9940972409855,Standard,Electronic check,No,Movies,No,Mobile,25.160526081725095,70.25383064222262,25,Fantasy,1.2465992161682706,2,Female,14,Yes,,NRLC9JJS9S,0,71,0,True,Basic
5,,57.24876996500478,Premium,Bank transfer,No,Both,Yes,Computer,8.613630655714616,115.70888850048564,40,Action,,2,Male,17,No,,B6SIIXSQOS,0,5,0,False,nan
43,11.167881340971226,381.2116703905584,Premium,,No,Movies,No,Mobile,55.64545351427503,115.10533415456264,37,Comedy,,8,Male,3,No,,J647T7HQQL,1,43,0,True,Basic
64,6.190149535602858,,Premium,Electronic check,Yes,Movies,Yes,Computer,63.03783832882433,90.24929986396717,44,Fantasy,1.9160888756880632,0,Male,1,Yes,,AH3L1MRZRR,0,64,0,True,Basic
80,,,Premium,,No,TV Shows,Yes,Computer,10.226363357510813,99.92343722938276,23,Comedy,2.3884356148158736,0,Male,13,Yes,,4PX89Y1RQA,0,80,0,True,nan
106,22.652286516949594,2008.811766534336,Basic,Electronic check,Yes,Both,No,TV,53.297112524507256,139.01892793847654,21,Drama,4.202215048246207,5,Female,18,Yes,Yes,3FDWNZRH2D,1,106,0,True,Premium
46,10.128836100800292,465.92646063681343,Premium,Credit card,No,TV Shows,No,TV,79.86109649261505,37.76650423808584,18,Drama,4.753683293430516,9,Male,9,No,,Y7Q0UE0U1M,0,46,0,True,Basic
9,,154.49158903519094,,Electronic check,No,Both,No,Computer,29.864771705652444,150.5060986445366,41,Drama,1.7312580133378588,6,Male,0,No,,HN78JG14TS,1,9,0,True,nan
100,,1142.9418185007523,Premium,Electronic check,No,TV Shows,Yes,TV,20.459602791059467,33.21299683768329,31,Action,1.050604389943067,0,Male,16,No,No,74YHNQ6G75,1,100,0,True,nan
98,19.02152488578505,,Basic,Bank transfer,Yes,Both,No,,10.048546888028865,91.870700788936,17,Sci-Fi,,9,Female,13,No,No,RLNIID3XWT,0,98,0,True,Premium
39,7.520022143067342,293.2808635796263,Premium,Electronic check,Yes,Both,Yes,TV,79.00912734615567,81.08144911749876,26,Fantasy,4.897123983772078,0,,4,Yes,,87D7OLH270,0,39,0,True,Basic
70,12.617340208794916,733.7402439496439,Standard,,Yes,TV Shows,No,Mobile,17.172319862604752,42.77790509535797,1,Fantasy,2.573195943422459,8,Male,5,Yes,,P6L806SMU4,1,70,0,True,Basic
29,13.026229350260264,278.70621551822114,Standard,Electronic check,No,Both,No,Computer,39.687026499130376,99.44781816116422,15,Fantasy,2.6821928546425933,5,Male,9,Yes,,FCTLMSLMQJ,1,29,0,True,Basic
92,10.364502517846944,953.5342316419188,Premium,Credit card,Yes,TV Shows,No,Mobile,74.4010859854605,39.91319918862807,13,Comedy,1.2935675294269329,0,Female,18,Yes,,G3AKTVZVV9,0,92,0,True,Basic
109,7.418513931584568,808.618018542718,Basic,Electronic check,Yes,Movies,Yes,,26.09557604348054,131.44252948316043,30,Fantasy,,1,Male,7,Yes,Yes,7L6GJZ94PQ,0,109,0,True,Basic
